,Names,Organisation,Projects
0,Ajay Arasanipalai,The LLVM Compiler Infrastructure,"Modernize the LLVM ""Building A JIT"" Tutorial Series"
1,Sidharth Mundhra,SymPy,Improving Series Expansions
2,Zyad Ali,gVisor,System V Message Queues
3,Dinesh Chidipothu,Zulip,Work on Message view events and Authentication issues.
4,Yi FENG,Halide,Performance Tracking in CI
5,Pranav Bhatt,JBoss Community,CoAP protocol endpoint for Drogue IoT
6,Mritunjay Sharma,CNCF,Cloud Native Buildpacks [CNCF] Project: Automatic Buildpack Registry Action Updates
7,Mohamed Soudy-1,National Resource for Network Biology (NRNB),Adding Multi-omics data support to ABioTrans Plus
8,Varun Tiwari,Digital Impact Alliance (DIAL) at UN Foundation,ODK-X: Improving Services User-Interface
9,Mohit Singh,Casbin,dart-casbin
10,Mark Joseph Kuebel,Gentoo Foundation,Catalyst Crosscompiling and Revamp
11,Bruno Messias,Python Software Foundation,A system for collaborative visualization of large network layouts using FURY and sockets.io
12,Midhun Suresh R,Matrix.org,Right Sidebar for Hydrogen client
13,Priyam Seth,Zulip,Improving the compose box and the user interface of Zulip web
14,Avinal,FOSSology,New Build System and improving CI/CD workflow
15,Arvind Ganesh,The Julia Language,"Pythia – a framework for modular, scalable time-series forecasting"
16,Michał Łukomski,The Julia Language,MuZero implementation
17,Aditi Sawant,Mayor's Office of New Urban Mechanics (City of Boston),Urban Tree Canopy Detection Using Satellite and Aerial Imagery
18,Keisuke Nishimura,The Linux Foundation,Examining the Coccinelle’s Handleability of All Function Headers Found in the Linux Kernel
19,Muhammed Suhail A H,Python Software Foundation,Building checkers/mappings for known package lists
20,Yu-Shiang Dang,The Honeynet Project,New Rule Generation Technique & Make Quark Everywhere Among Security Open Source Projects
21,Gaurav Pandey (ligmitz),Zulip,Proposal for Zulip - GSoC 2021
22,Michail Raptakis,Libre Space Foundation,SatNOGS TX capabilities
23,Dinesh Sathia Raj,INCF,Eye Tracking
24,Suraj Kumar-3,Boost C++ Libraries,Benchmarking and improving Boost.Real
25,Suyash Vardhan Mathur,Zulip,Enhancing Zulip API Documentation
26,Atharva Arya,TARDIS SN,Real-Time Simulation Tracking and a Dedicated Logging Framework for TARDIS
27,Ashwin M,Open Chemistry,DeepChem Retrosynthesis
28,Nived,TensorFlow,Improving TensorFlow GAN Library
29,Sean Ng,FreeBSD Project,Netlink proposal
30,Nitik Jain,INCF,Project 6.4: Development of Open-Source Biorobotics Framework
31,Nitesh Mahawar,Red Hen Lab,Multimodal TV Show Segmentation
32,Bogdan Grigoruță,QEMU,Mocking framework for virtio queues
33,Fan Chung,FreeBSD Project,Input method in FreeBSD virtual terminal
34,Shruti Chaturvedi,Continuous Delivery Foundation,CloudEvents Plugin for Jenkins: Consume and Emit CloudEvents
35,Xu Wang,Ceph,NEXT LEVEL AMQP
36,Wenhe Li,Chromium,Productionize XNNPACK Machine Learning Backend for Chrome OS
37,Debaditya Pal,Python Software Foundation,(Activeloop) Create an interactive onboarding environment for new users of Hub
38,Milind Thakur,TensorFlow,Generate TensorFlow Lite example for Natural Language Processing
39,Harjeet Singh,AOSSIE,P2P Messaging App
40,Dhairya Bahl,Synfig,Move ETL library code to synfig-core
41,imlk,openSUSE Project,Porting PRoot to Rust
42,ayush_bansal,Libre Space Foundation,Polaris: Produce rich analysis reports
43,Naman Lakhwani,CNCF,"Automated, Granular TLS client support in Thanos"
44,Neelaksh Singh,freifunk,OpenWRT PPA
45,Rudraksh Aggarwal,Bench-Routes,Revamping the UI
